"month_year","borough","complaint_type","rank","complaint_count"
"2011-10",STATEN ISLAND,Sidewalk Condition,7,358
"2011-10",STATEN ISLAND,HEATING,8,318
"2011-10",STATEN ISLAND,Sewer,9,317
"2011-10",STATEN ISLAND,Missed Collection (All Materials),10,285
"2011-11",BRONX,HEATING,1,7393
"2011-11",BRONX,GENERAL CONSTRUCTION,2,3468
"2011-11",BRONX,PLUMBING,3,2771
"2011-11",BRONX,PAINT - PLASTER,4,2657
"2011-11",BRONX,Noise - Residential,5,2598
"2011-11",BRONX,NONCONST,6,1650
"2011-11",BRONX,Street Light Condition,7,1612
"2011-11",BRONX,ELECTRIC,8,836
"2011-11",BRONX,Blocked Driveway,9,684
"2011-11",BRONX,Street Condition,10,667
"2011-11",BROOKLYN,HEATING,1,8529
"2011-11",BROOKLYN,GENERAL CONSTRUCTION,2,4595
"2011-11",BROOKLYN,PLUMBING,3,3757
"2011-11",BROOKLYN,PAINT - PLASTER,4,3502
"2011-11",BROOKLYN,Noise - Residential,5,2582
"2011-11",BROOKLYN,NONCONST,6,2423
"2011-11",BROOKLYN,Street Light Condition,7,2002
"2011-11",BROOKLYN,Street Condition,8,1743
"2011-11",BROOKLYN,Blocked Driveway,9,1723
"2011-11",BROOKLYN,General Construction/Plumbing,10,1233
"2011-11",MANHATTAN,HEATING,1,5634
"2011-11",MANHATTAN,Noise - Residential,2,2225
"2011-11",MANHATTAN,GENERAL CONSTRUCTION,3,2010
"2011-11",MANHATTAN,PLUMBING,4,1871
"2011-11",MANHATTAN,Noise,5,1723
"2011-11",MANHATTAN,PAINT - PLASTER,6,1540
"2011-11",MANHATTAN,Street Condition,7,1307
"2011-11",MANHATTAN,Taxi Complaint,8,1136
"2011-11",MANHATTAN,Traffic Signal Condition,9,1124
"2011-11",MANHATTAN,Street Light Condition,10,1006
"2011-11",QUEENS,HEATING,1,3523
"2011-11",QUEENS,Street Light Condition,2,2208
"2011-11",QUEENS,Blocked Driveway,3,1866
"2011-11",QUEENS,Water System,4,1815
"2011-11",QUEENS,GENERAL CONSTRUCTION,5,1531
"2011-11",QUEENS,Noise - Residential,6,1458
"2011-11",QUEENS,PLUMBING,7,1307
"2011-11",QUEENS,Street Condition,8,1165
"2011-11",QUEENS,PAINT - PLASTER,9,1139
"2011-11",QUEENS,Sewer,10,1119
"2011-11",STATEN ISLAND,Damaged Tree,1,891
"2011-11",STATEN ISLAND,Street Condition,2,504
"2011-11",STATEN ISLAND,Water System,3,484
"2011-11",STATEN ISLAND,Street Light Condition,4,400
"2011-11",STATEN ISLAND,Missed Collection (All Materials),5,391
"2011-11",STATEN ISLAND,Sewer,6,299
"2011-11",STATEN ISLAND,GENERAL CONSTRUCTION,7,297
"2011-11",STATEN ISLAND,HEATING,8,281
"2011-11",STATEN ISLAND,Literature Request,9,268
"2011-11",STATEN ISLAND,PLUMBING,10,212
"2011-12",BRONX,HEATING,1,10536
"2011-12",BRONX,GENERAL CONSTRUCTION,2,3453
"2011-12",BRONX,Noise - Residential,3,2852
"2011-12",BRONX,PLUMBING,4,2798
"2011-12",BRONX,PAINT - PLASTER,5,2425
"2011-12",BRONX,Street Light Condition,6,1759
"2011-12",BRONX,NONCONST,7,1613
"2011-12",BRONX,ELECTRIC,8,944
"2011-12",BRONX,Street Condition,9,885
"2011-12",BRONX,Blocked Driveway,10,672
"2011-12",BROOKLYN,HEATING,1,10298
"2011-12",BROOKLYN,GENERAL CONSTRUCTION,2,4516
"2011-12",BROOKLYN,PLUMBING,3,3551
"2011-12",BROOKLYN,PAINT - PLASTER,4,3218
"2011-12",BROOKLYN,Noise - Residential,5,2839
"2011-12",BROOKLYN,Street Light Condition,6,2170
"2011-12",BROOKLYN,NONCONST,7,2157
"2011-12",BROOKLYN,Blocked Driveway,8,1761
"2011-12",BROOKLYN,ELECTRIC,9,1307
"2011-12",BROOKLYN,Street Condition,10,1294
"2011-12",MANHATTAN,HEATING,1,7074
"2011-12",MANHATTAN,Noise - Residential,2,2483
"2011-12",MANHATTAN,GENERAL CONSTRUCTION,3,1757
"2011-12",MANHATTAN,PLUMBING,4,1556
"2011-12",MANHATTAN,PAINT - PLASTER,5,1380
"2011-12",MANHATTAN,Street Light Condition,6,1315
"2011-12",MANHATTAN,Street Condition,7,1219
"2011-12",MANHATTAN,Noise,8,1159
"2011-12",MANHATTAN,Broken Muni Meter,9,1146
"2011-12",MANHATTAN,Taxi Complaint,10,1131
"2011-12",QUEENS,HEATING,1,4239
"2011-12",QUEENS,Street Light Condition,2,2375
"2011-12",QUEENS,Blocked Driveway,3,1886
"2011-12",QUEENS,Noise - Residential,4,1746
"2011-12",QUEENS,GENERAL CONSTRUCTION,5,1412
"2011-12",QUEENS,Street Condition,6,1280
"2011-12",QUEENS,PLUMBING,7,1146
"2011-12",QUEENS,General Construction/Plumbing,8,1136
"2011-12",QUEENS,Sewer,9,1125
"2011-12",QUEENS,Literature Request,10,1061
"2011-12",STATEN ISLAND,Street Condition,1,643
"2011-12",STATEN ISLAND,Water System,2,484
"2011-12",STATEN ISLAND,Missed Collection (All Materials),3,414
"2011-12",STATEN ISLAND,Street Light Condition,4,407
"2011-12",STATEN ISLAND,HEATING,5,336
"2011-12",STATEN ISLAND,Literature Request,6,303
"2011-12",STATEN ISLAND,Sewer,7,293
"2011-12",STATEN ISLAND,GENERAL CONSTRUCTION,8,251
"2011-12",STATEN ISLAND,PLUMBING,9,227
"2011-12",STATEN ISLAND,Noise - Residential,10,215
"2012-01",BRONX,HEATING,1,12655
"2012-01",BRONX,GENERAL CONSTRUCTION,2,3816
"2012-01",BRONX,PLUMBING,3,2931
"2012-01",BRONX,Noise - Residential,4,2888
"2012-01",BRONX,PAINT - PLASTER,5,2618
"2012-01",BRONX,NONCONST,6,1565
"2012-01",BRONX,Street Light Condition,7,1428
"2012-01",BRONX,Street Condition,8,1090
"2012-01",BRONX,ELECTRIC,9,904
"2012-01",BRONX,Blocked Driveway,10,620
"2012-01",BROOKLYN,HEATING,1,12421
"2012-01",BROOKLYN,GENERAL CONSTRUCTION,2,4525
"2012-01",BROOKLYN,PLUMBING,3,3522
"2012-01",BROOKLYN,PAINT - PLASTER,4,3107
"2012-01",BROOKLYN,Noise - Residential,5,2797
"2012-01",BROOKLYN,NONCONST,6,2241
"2012-01",BROOKLYN,Street Light Condition,7,1909
"2012-01",BROOKLYN,Blocked Driveway,8,1622
"2012-01",BROOKLYN,Street Condition,9,1465
"2012-01",BROOKLYN,Traffic Signal Condition,10,1342
"2012-01",MANHATTAN,HEATING,1,8086
"2012-01",MANHATTAN,Noise - Residential,2,2369
"2012-01",MANHATTAN,GENERAL CONSTRUCTION,3,2019
"2012-01",MANHATTAN,PLUMBING,4,1558
"2012-01",MANHATTAN,PAINT - PLASTER,5,1487
"2012-01",MANHATTAN,Street Light Condition,6,1359
"2012-01",MANHATTAN,Traffic Signal Condition,7,1297
"2012-01",MANHATTAN,Noise,8,1208
"2012-01",MANHATTAN,Street Condition,9,1116
"2012-01",MANHATTAN,Broken Muni Meter,10,1003
"2012-01",QUEENS,HEATING,1,4995
"2012-01",QUEENS,Street Light Condition,2,2211
"2012-01",QUEENS,Blocked Driveway,3,1654
"2012-01",QUEENS,Noise - Residential,4,1599
"2012-01",QUEENS,Street Condition,5,1590
"2012-01",QUEENS,GENERAL CONSTRUCTION,6,1398
"2012-01",QUEENS,Literature Request,7,1286
"2012-01",QUEENS,Traffic Signal Condition,8,1217
"2012-01",QUEENS,PLUMBING,9,1160
"2012-01",QUEENS,Water System,10,1115
"2012-01",STATEN ISLAND,Street Condition,1,1134
"2012-01",STATEN ISLAND,Missed Collection (All Materials),2,378
"2012-01",STATEN ISLAND,Water System,3,378
"2012-01",STATEN ISLAND,Literature Request,4,375
"2012-01",STATEN ISLAND,Street Light Condition,5,369
"2012-01",STATEN ISLAND,HEATING,6,334
"2012-01",STATEN ISLAND,Sewer,7,277
"2012-01",STATEN ISLAND,GENERAL CONSTRUCTION,8,250
"2012-01",STATEN ISLAND,Noise - Residential,9,236
"2012-01",STATEN ISLAND,PLUMBING,10,220
"2012-02",BRONX,HEATING,1,7146
"2012-02",BRONX,GENERAL CONSTRUCTION,2,3050
"2012-02",BRONX,Noise - Residential,3,2556
"2012-02",BRONX,PLUMBING,4,2376
"2012-02",BRONX,PAINT - PLASTER,5,2131
"2012-02",BRONX,Street Light Condition,6,1862
"2012-02",BRONX,NONCONST,7,1197
"2012-02",BRONX,Street Condition,8,1088
"2012-02",BRONX,ELECTRIC,9,720
"2012-02",BRONX,Blocked Driveway,10,519
"2012-02",BROOKLYN,HEATING,1,6798
"2012-02",BROOKLYN,GENERAL CONSTRUCTION,2,3613
"2012-02",BROOKLYN,PLUMBING,3,2809
"2012-02",BROOKLYN,Noise - Residential,4,2685
"2012-02",BROOKLYN,PAINT - PLASTER,5,2491
"2012-02",BROOKLYN,Street Light Condition,6,2009
"2012-02",BROOKLYN,NONCONST,7,1739
"2012-02",BROOKLYN,Blocked Driveway,8,1397
"2012-02",BROOKLYN,Street Condition,9,1244
"2012-02",BROOKLYN,ELECTRIC,10,1065
"2012-02",MANHATTAN,HEATING,1,4764
"2012-02",MANHATTAN,Noise - Residential,2,2217
"2012-02",MANHATTAN,GENERAL CONSTRUCTION,3,1724
"2012-02",MANHATTAN,PLUMBING,4,1418
"2012-02",MANHATTAN,Noise,5,1376
"2012-02",MANHATTAN,PAINT - PLASTER,6,1188
"2012-02",MANHATTAN,Street Light Condition,7,1150
"2012-02",MANHATTAN,Street Condition,8,1115
"2012-02",MANHATTAN,Taxi Complaint,9,1027
"2012-02",MANHATTAN,Broken Muni Meter,10,893
"2012-02",QUEENS,HEATING,1,2595
"2012-02",QUEENS,Street Light Condition,2,2137
"2012-02",QUEENS,Blocked Driveway,3,1498
"2012-02",QUEENS,Noise - Residential,4,1443
"2012-02",QUEENS,Street Condition,5,1250
"2012-02",QUEENS,Water System,6,1139
"2012-02",QUEENS,Literature Request,7,1080
"2012-02",QUEENS,GENERAL CONSTRUCTION,8,1041
"2012-02",QUEENS,Sewer,9,997
"2012-02",QUEENS,General Construction/Plumbing,10,913
"2012-02",STATEN ISLAND,Street Condition,1,812
"2012-02",STATEN ISLAND,Street Light Condition,2,385
"2012-02",STATEN ISLAND,Water System,3,374
"2012-02",STATEN ISLAND,Literature Request,4,330
"2012-02",STATEN ISLAND,Missed Collection (All Materials),5,295
"2012-02",STATEN ISLAND,Sewer,6,252
"2012-02",STATEN ISLAND,Dirty Conditions,7,213
"2012-02",STATEN ISLAND,Illegal Parking,8,195
"2012-02",STATEN ISLAND,Noise - Residential,9,188
"2012-02",STATEN ISLAND,General Construction/Plumbing,10,171
"2012-03",BRONX,HEATING,1,5049
"2012-03",BRONX,GENERAL CONSTRUCTION,2,3055
"2012-03",BRONX,Noise - Residential,3,2839
"2012-03",BRONX,PLUMBING,4,2308
"2012-03",BRONX,PAINT - PLASTER,5,2113
"2012-03",BRONX,Street Light Condition,6,1801
"2012-03",BRONX,NONCONST,7,1385
"2012-03",BRONX,Street Condition,8,895
"2012-03",BRONX,ELECTRIC,9,801
"2012-03",BRONX,Blocked Driveway,10,640
"2012-03",BROOKLYN,HEATING,1,4744
"2012-03",BROOKLYN,GENERAL CONSTRUCTION,2,3364
"2012-03",BROOKLYN,Noise - Residential,3,2981
"2012-03",BROOKLYN,PLUMBING,4,2562
"2012-03",BROOKLYN,PAINT - PLASTER,5,2412
"2012-03",BROOKLYN,Street Light Condition,6,2281
"2012-03",BROOKLYN,Street Condition,7,1760
"2012-03",BROOKLYN,NONCONST,8,1716
"2012-03",BROOKLYN,Blocked Driveway,9,1638
"2012-03",BROOKLYN,General Construction/Plumbing,10,1359
"2012-03",MANHATTAN,HEATING,1,3415
"2012-03",MANHATTAN,Noise - Residential,2,2520
"2012-03",MANHATTAN,GENERAL CONSTRUCTION,3,1993
"2012-03",MANHATTAN,Noise,4,1913
"2012-03",MANHATTAN,PLUMBING,5,1475
"2012-03",MANHATTAN,PAINT - PLASTER,6,1387
"2012-03",MANHATTAN,Street Light Condition,7,1344
"2012-03",MANHATTAN,Street Condition,8,1319
"2012-03",MANHATTAN,Taxi Complaint,9,1158
"2012-03",MANHATTAN,General Construction/Plumbing,10,1002
"2012-03",QUEENS,Street Light Condition,1,2394
"2012-03",QUEENS,HEATING,2,1952
"2012-03",QUEENS,Street Condition,3,1948
"2012-03",QUEENS,Blocked Driveway,4,1669
"2012-03",QUEENS,Noise - Residential,5,1565
"2012-03",QUEENS,Literature Request,6,1408
"2012-03",QUEENS,General Construction/Plumbing,7,1230
"2012-03",QUEENS,Sewer,8,1182
"2012-03",QUEENS,Building/Use,9,1093
"2012-03",QUEENS,Water System,10,1091
"2012-03",STATEN ISLAND,Street Condition,1,906
"2012-03",STATEN ISLAND,Literature Request,2,480
"2012-03",STATEN ISLAND,Street Light Condition,3,465
"2012-03",STATEN ISLAND,Water System,4,460
"2012-03",STATEN ISLAND,Missed Collection (All Materials),5,337
"2012-03",STATEN ISLAND,Sewer,6,276
"2012-03",STATEN ISLAND,Noise - Residential,7,239
"2012-03",STATEN ISLAND,Dirty Conditions,8,214
"2012-03",STATEN ISLAND,GENERAL CONSTRUCTION,9,204
"2012-03",STATEN ISLAND,General Construction/Plumbing,10,203
"2012-04",BRONX,HEATING,1,3336
"2012-04",BRONX,Noise - Residential,2,2673
"2012-04",BRONX,GENERAL CONSTRUCTION,3,2456
"2012-04",BRONX,PLUMBING,4,1851
"2012-04",BRONX,PAINT - PLASTER,5,1813
"2012-04",BRONX,Street Light Condition,6,1561
"2012-04",BRONX,NONCONST,7,1021
"2012-04",BRONX,Street Condition,8,777
"2012-04",BRONX,Graffiti,9,652
"2012-04",BRONX,Blocked Driveway,10,611
"2012-04",BROOKLYN,HEATING,1,3541
"2012-04",BROOKLYN,Noise - Residential,2,3045
"2012-04",BROOKLYN,GENERAL CONSTRUCTION,3,2985
"2012-04",BROOKLYN,PLUMBING,4,2342
"2012-04",BROOKLYN,PAINT - PLASTER,5,2219
"2012-04",BROOKLYN,Street Light Condition,6,2151
"2012-04",BROOKLYN,Blocked Driveway,7,1576
"2012-04",BROOKLYN,NONCONST,8,1567
"2012-04",BROOKLYN,Literature Request,9,1564
"2012-04",BROOKLYN,Street Condition,10,1396
"2012-04",MANHATTAN,HEATING,1,2788
"2012-04",MANHATTAN,Noise - Residential,2,2257
"2012-04",MANHATTAN,GENERAL CONSTRUCTION,3,1766
"2012-04",MANHATTAN,Noise,4,1631
"2012-04",MANHATTAN,PLUMBING,5,1154
"2012-04",MANHATTAN,Street Condition,6,1140
"2012-04",MANHATTAN,Taxi Complaint,7,1135
"2012-04",MANHATTAN,PAINT - PLASTER,8,1129
"2012-04",MANHATTAN,Street Light Condition,9,1026
"2012-04",MANHATTAN,General Construction/Plumbing,10,860
"2012-04",QUEENS,Street Light Condition,1,2298
"2012-04",QUEENS,Noise - Residential,2,1946
"2012-04",QUEENS,Street Condition,3,1566
"2012-04",QUEENS,Blocked Driveway,4,1560
"2012-04",QUEENS,HEATING,5,1407
"2012-04",QUEENS,Literature Request,6,1391
"2012-04",QUEENS,Sewer,7,1072
"2012-04",QUEENS,General Construction/Plumbing,8,1050
"2012-04",QUEENS,Dirty Conditions,9,1030
"2012-04",QUEENS,Building/Use,10,1006
"2012-04",STATEN ISLAND,Street Condition,1,554
"2012-04",STATEN ISLAND,Literature Request,2,469
"2012-04",STATEN ISLAND,Water System,3,442
"2012-04",STATEN ISLAND,Street Light Condition,4,357
"2012-04",STATEN ISLAND,Noise - Residential,5,315
"2012-04",STATEN ISLAND,Sewer,6,310
"2012-04",STATEN ISLAND,Missed Collection (All Materials),7,274
"2012-04",STATEN ISLAND,General Construction/Plumbing,8,225
"2012-04",STATEN ISLAND,Illegal Parking,9,196
"2012-04",STATEN ISLAND,Dirty Conditions,10,193
"2012-05",BRONX,GENERAL CONSTRUCTION,1,2688
"2012-05",BRONX,Noise - Residential,2,2649
"2012-05",BRONX,PLUMBING,3,1927
"2012-05",BRONX,Street Light Condition,4,1871
"2012-05",BRONX,PAINT - PLASTER,5,1866
"2012-05",BRONX,NONCONST,6,1279
"2012-05",BRONX,HEATING,7,1214
"2012-05",BRONX,Water System,8,950
"2012-05",BRONX,Street Condition,9,807
"2012-05",BRONX,ELECTRIC,10,773
"2012-05",BROOKLYN,Noise - Residential,1,3571
"2012-05",BROOKLYN,GENERAL CONSTRUCTION,2,3193
"2012-05",BROOKLYN,PLUMBING,3,2693
"2012-05",BROOKLYN,PAINT - PLASTER,4,2323
"2012-05",BROOKLYN,Street Light Condition,5,2193
"2012-05",BROOKLYN,Street Condition,6,1832
"2012-05",BROOKLYN,NONCONST,7,1808
"2012-05",BROOKLYN,Blocked Driveway,8,1598
"2012-05",BROOKLYN,General Construction/Plumbing,9,1595
"2012-05",BROOKLYN,HEATING,10,1331
"2012-05",MANHATTAN,Noise - Residential,1,2248
"2012-05",MANHATTAN,Noise,2,1677
"2012-05",MANHATTAN,GENERAL CONSTRUCTION,3,1580
"2012-05",MANHATTAN,Street Light Condition,4,1367
"2012-05",MANHATTAN,PLUMBING,5,1259
"2012-05",MANHATTAN,Taxi Complaint,6,1236
"2012-05",MANHATTAN,PAINT - PLASTER,7,1202
"2012-05",MANHATTAN,Street Condition,8,1143
"2012-05",MANHATTAN,General Construction/Plumbing,9,1023
"2012-05",MANHATTAN,HEATING,10,1010
"2012-05",QUEENS,Noise - Residential,1,2454
"2012-05",QUEENS,Street Light Condition,2,2428
"2012-05",QUEENS,Blocked Driveway,3,1773
"2012-05",QUEENS,Street Condition,4,1650
"2012-05",QUEENS,Sewer,5,1547
"2012-05",QUEENS,General Construction/Plumbing,6,1184
"2012-05",QUEENS,Literature Request,7,1178
"2012-05",QUEENS,Water System,8,1169
"2012-05",QUEENS,Building/Use,9,1054
"2012-05",QUEENS,Dirty Conditions,10,984
"2012-05",STATEN ISLAND,Water System,1,745
"2012-05",STATEN ISLAND,Street Condition,2,723
"2012-05",STATEN ISLAND,Street Light Condition,3,519
"2012-05",STATEN ISLAND,Literature Request,4,414
"2012-05",STATEN ISLAND,Noise - Residential,5,380
"2012-05",STATEN ISLAND,Sewer,6,349
"2012-05",STATEN ISLAND,Overgrown Tree/Branches,7,322
"2012-05",STATEN ISLAND,Missed Collection (All Materials),8,268
"2012-05",STATEN ISLAND,General Construction/Plumbing,9,232
"2012-05",STATEN ISLAND,Sanitation Condition,10,226
"2012-06",BRONX,Water System,1,3503
"2012-06",BRONX,GENERAL CONSTRUCTION,2,2483
"2012-06",BRONX,Noise - Residential,3,2330
"2012-06",BRONX,PLUMBING,4,1996
"2012-06",BRONX,Street Light Condition,5,1963
"2012-06",BRONX,PAINT - PLASTER,6,1786
"2012-06",BRONX,NONCONST,7,1520
"2012-06",BRONX,ELECTRIC,8,812
"2012-06",BRONX,Street Condition,9,803
"2012-06",BRONX,HEATING,10,672
"2012-06",BROOKLYN,Noise - Residential,1,3417
"2012-06",BROOKLYN,GENERAL CONSTRUCTION,2,2988
"2012-06",BROOKLYN,Water System,3,2478
"2012-06",BROOKLYN,PLUMBING,4,2445
"2012-06",BROOKLYN,PAINT - PLASTER,5,2156
"2012-06",BROOKLYN,Street Light Condition,6,2090
"2012-06",BROOKLYN,Street Condition,7,1928
"2012-06",BROOKLYN,NONCONST,8,1881
"2012-06",BROOKLYN,Blocked Driveway,9,1684
"2012-06",BROOKLYN,General Construction/Plumbing,10,1274
"2012-06",MANHATTAN,GENERAL CONSTRUCTION,1,1694
"2012-06",MANHATTAN,Water System,2,1693
"2012-06",MANHATTAN,Noise - Residential,3,1659
"2012-06",MANHATTAN,Noise,4,1302
"2012-06",MANHATTAN,Street Light Condition,5,1249
"2012-06",MANHATTAN,PAINT - PLASTER,6,1232
"2012-06",MANHATTAN,PLUMBING,7,1226
"2012-06",MANHATTAN,Street Condition,8,1214
"2012-06",MANHATTAN,Taxi Complaint,9,1162
"2012-06",MANHATTAN,Noise - Street/Sidewalk,10,968
"2012-06",QUEENS,Noise - Residential,1,2537
"2012-06",QUEENS,Street Light Condition,2,2372
"2012-06",QUEENS,Water System,3,1875
"2012-06",QUEENS,Street Condition,4,1805
"2012-06",QUEENS,Blocked Driveway,5,1730
"2012-06",QUEENS,Sewer,6,1455
"2012-06",QUEENS,Literature Request,7,1192
"2012-06",QUEENS,Dirty Conditions,8,1137
"2012-06",QUEENS,General Construction/Plumbing,9,1123
"2012-06",QUEENS,Building/Use,10,1032
"2012-06",STATEN ISLAND,Street Condition,1,640
"2012-06",STATEN ISLAND,Street Light Condition,2,564
"2012-06",STATEN ISLAND,Water System,3,436
"2012-06",STATEN ISLAND,Noise - Residential,4,406
"2012-06",STATEN ISLAND,Sewer,5,386
"2012-06",STATEN ISLAND,Literature Request,6,361
"2012-06",STATEN ISLAND,Overgrown Tree/Branches,7,330
"2012-06",STATEN ISLAND,Missed Collection (All Materials),8,330
"2012-06",STATEN ISLAND,Sanitation Condition,9,263
"2012-06",STATEN ISLAND,General Construction/Plumbing,10,238
"2012-07",BRONX,Water System,1,4184
"2012-07",BRONX,GENERAL CONSTRUCTION,2,2849
"2012-07",BRONX,PLUMBING,3,2241
"2012-07",BRONX,Noise - Residential,4,2165
"2012-07",BRONX,PAINT - PLASTER,5,2026
"2012-07",BRONX,NONCONST,6,1840
"2012-07",BRONX,Street Light Condition,7,1675
"2012-07",BRONX,ELECTRIC,8,1036
"2012-07",BRONX,HEATING,9,688
"2012-07",BRONX,Blocked Driveway,10,663
"2012-07",BROOKLYN,Water System,1,4027
"2012-07",BROOKLYN,Noise - Residential,2,3292
"2012-07",BROOKLYN,GENERAL CONSTRUCTION,3,3243
"2012-07",BROOKLYN,PLUMBING,4,2507
"2012-07",BROOKLYN,NONCONST,5,2378
"2012-07",BROOKLYN,PAINT - PLASTER,6,2332
"2012-07",BROOKLYN,Street Light Condition,7,1887
"2012-07",BROOKLYN,Street Condition,8,1616
"2012-07",BROOKLYN,Blocked Driveway,9,1511
"2012-07",BROOKLYN,General Construction/Plumbing,10,1446
"2012-07",MANHATTAN,Water System,1,2257
"2012-07",MANHATTAN,GENERAL CONSTRUCTION,2,1575
"2012-07",MANHATTAN,Noise - Residential,3,1343
"2012-07",MANHATTAN,PLUMBING,4,1172
"2012-07",MANHATTAN,Street Condition,5,1122
"2012-07",MANHATTAN,Taxi Complaint,6,1117
"2012-07",MANHATTAN,PAINT - PLASTER,7,1058
"2012-07",MANHATTAN,Noise,8,939
"2012-07",MANHATTAN,NONCONST,9,928
"2012-07",MANHATTAN,General Construction/Plumbing,10,902
"2012-07",QUEENS,Water System,1,2643
"2012-07",QUEENS,Noise - Residential,2,2590
"2012-07",QUEENS,Street Light Condition,3,2272
"2012-07",QUEENS,Street Condition,4,1813
"2012-07",QUEENS,Blocked Driveway,5,1751
"2012-07",QUEENS,Dirty Conditions,6,1397
"2012-07",QUEENS,Literature Request,7,1289
"2012-07",QUEENS,Damaged Tree,8,1233
"2012-07",QUEENS,Sewer,9,1206
"2012-07",QUEENS,Building/Use,10,1161
"2012-07",STATEN ISLAND,Street Condition,1,662
"2012-07",STATEN ISLAND,Street Light Condition,2,504
"2012-07",STATEN ISLAND,Literature Request,3,440
"2012-07",STATEN ISLAND,Water System,4,404
"2012-07",STATEN ISLAND,Noise - Residential,5,400
"2012-07",STATEN ISLAND,Damaged Tree,6,342
"2012-07",STATEN ISLAND,Overgrown Tree/Branches,7,323
"2012-07",STATEN ISLAND,Sewer,8,291
"2012-07",STATEN ISLAND,Missed Collection (All Materials),9,268
"2012-07",STATEN ISLAND,GENERAL CONSTRUCTION,10,261
"2012-08",BRONX,GENERAL CONSTRUCTION,1,2860
"2012-08",BRONX,Noise - Residential,2,2501
"2012-08",BRONX,PLUMBING,3,2212
"2012-08",BRONX,PAINT - PLASTER,4,2130
"2012-08",BRONX,NONCONST,5,1827
"2012-08",BRONX,Street Light Condition,6,1321
"2012-08",BRONX,Water System,7,1188
"2012-08",BRONX,ELECTRIC,8,924
"2012-08",BRONX,HEATING,9,711
"2012-08",BRONX,Dirty Conditions,10,695
"2012-08",BROOKLYN,Noise - Residential,1,3653
"2012-08",BROOKLYN,GENERAL CONSTRUCTION,2,3594
"2012-08",BROOKLYN,PLUMBING,3,2860
"2012-08",BROOKLYN,PAINT - PLASTER,4,2606
"2012-08",BROOKLYN,NONCONST,5,2356
"2012-08",BROOKLYN,Street Light Condition,6,1937
"2012-08",BROOKLYN,Street Condition,7,1763
"2012-08",BROOKLYN,General Construction/Plumbing,8,1542
"2012-08",BROOKLYN,Blocked Driveway,9,1453
"2012-08",BROOKLYN,ELECTRIC,10,1315
"2012-08",MANHATTAN,Noise - Residential,1,1662
"2012-08",MANHATTAN,GENERAL CONSTRUCTION,2,1535
"2012-08",MANHATTAN,Noise,3,1375
"2012-08",MANHATTAN,Taxi Complaint,4,1246
"2012-08",MANHATTAN,PLUMBING,5,1187
"2012-08",MANHATTAN,Street Light Condition,6,1156
"2012-08",MANHATTAN,PAINT - PLASTER,7,1114
"2012-08",MANHATTAN,Street Condition,8,1068
"2012-08",MANHATTAN,Water System,9,1023
"2012-08",MANHATTAN,NONCONST,10,1011
"2012-08",QUEENS,Noise - Residential,1,2665
"2012-08",QUEENS,Street Light Condition,2,2626
"2012-08",QUEENS,Sewer,3,1939
"2012-08",QUEENS,Street Condition,4,1793
"2012-08",QUEENS,Blocked Driveway,5,1760
"2012-08",QUEENS,Dirty Conditions,6,1272
"2012-08",QUEENS,Water System,7,1240
"2012-08",QUEENS,Building/Use,8,1218
"2012-08",QUEENS,GENERAL CONSTRUCTION,9,1180
"2012-08",QUEENS,Literature Request,10,1161
"2012-08",STATEN ISLAND,Street Light Condition,1,598
"2012-08",STATEN ISLAND,Street Condition,2,580
"2012-08",STATEN ISLAND,Literature Request,3,402
"2012-08",STATEN ISLAND,Noise - Residential,4,388
"2012-08",STATEN ISLAND,Overgrown Tree/Branches,5,326
"2012-08",STATEN ISLAND,Missed Collection (All Materials),6,320
"2012-08",STATEN ISLAND,Sewer,7,311
"2012-08",STATEN ISLAND,Water System,8,303
"2012-08",STATEN ISLAND,Sanitation Condition,9,300
"2012-08",STATEN ISLAND,GENERAL CONSTRUCTION,10,298
"2012-09",BRONX,Noise - Residential,1,2797
"2012-09",BRONX,GENERAL CONSTRUCTION,2,2607
"2012-09",BRONX,PLUMBING,3,2050
"2012-09",BRONX,PAINT - PLASTER,4,1890
"2012-09",BRONX,NONCONST,5,1595
"2012-09",BRONX,Street Light Condition,6,1511
"2012-09",BRONX,ELECTRIC,7,773
"2012-09",BRONX,HEATING,8,675
"2012-09",BRONX,Traffic Signal Condition,9,628
"2012-09",BRONX,Blocked Driveway,10,610
"2012-09",BROOKLYN,Noise - Residential,1,4569
"2012-09",BROOKLYN,GENERAL CONSTRUCTION,2,3376
"2012-09",BROOKLYN,PLUMBING,3,2634
"2012-09",BROOKLYN,PAINT - PLASTER,4,2346
"2012-09",BROOKLYN,NONCONST,5,2190
"2012-09",BROOKLYN,Street Light Condition,6,1832
"2012-09",BROOKLYN,Blocked Driveway,7,1825
"2012-09",BROOKLYN,Literature Request,8,1368
"2012-09",BROOKLYN,Sewer,9,1310
"2012-09",BROOKLYN,Street Condition,10,1263
"2012-09",MANHATTAN,Noise - Residential,1,2445
"2012-09",MANHATTAN,GENERAL CONSTRUCTION,2,1577
"2012-09",MANHATTAN,Noise,3,1418
"2012-09",MANHATTAN,PLUMBING,4,1197
"2012-09",MANHATTAN,PAINT - PLASTER,5,1104
"2012-09",MANHATTAN,Taxi Complaint,6,1074
"2012-09",MANHATTAN,Traffic Signal Condition,7,1062
"2012-09",MANHATTAN,Broken Muni Meter,8,990
