"month_year","complaint_type","rank","cantidad_reclamos"
"2012-08",PLUMBING,4,7533
"2012-08",PAINT - PLASTER,5,6866
"2012-08",NONCONST,6,6327
"2012-08",Street Condition,7,5749
"2012-08",Water System,8,5028
"2012-08",General Construction/Plumbing,9,4303
"2012-08",Dirty Conditions,10,4079
"2012-09",Noise - Residential,1,13447
"2012-09",GENERAL CONSTRUCTION,2,8816
"2012-09",Street Light Condition,3,7089
"2012-09",PLUMBING,4,6915
"2012-09",PAINT - PLASTER,5,6146
"2012-09",NONCONST,6,5699
"2012-09",Street Condition,7,5039
"2012-09",Blocked Driveway,8,4727
"2012-09",Sewer,9,3765
"2012-09",Literature Request,10,3740
"2012-10",Damaged Tree,1,13182
"2012-10",HEATING,2,12993
"2012-10",Noise - Residential,3,11267
"2012-10",GENERAL CONSTRUCTION,4,9025
"2012-10",Street Light Condition,5,8018
"2012-10",PLUMBING,6,7019
"2012-10",PAINT - PLASTER,7,6323
"2012-10",Traffic Signal Condition,8,5063
"2012-10",NONCONST,9,4966
"2012-10",Street Condition,10,4889
"2012-11",HEATING,1,40322
"2012-11",Damaged Tree,2,19519
"2012-11",GENERAL CONSTRUCTION,3,9561
"2012-11",Noise - Residential,4,9369
"2012-11",Street Light Condition,5,8114
"2012-11",PLUMBING,6,7304
"2012-11",Traffic Signal Condition,7,6937
"2012-11",PAINT - PLASTER,8,5618
"2012-11",General Construction/Plumbing,9,4554
"2012-11",NONCONST,10,4481
"2012-12",HEATING,1,29870
"2012-12",Noise - Residential,2,12192
"2012-12",GENERAL CONSTRUCTION,3,10053
"2012-12",Street Light Condition,4,7921
"2012-12",PLUMBING,5,7582
"2012-12",PAINT - PLASTER,6,6593
"2012-12",Traffic Signal Condition,7,5773
"2012-12",Street Condition,8,5067
"2012-12",Blocked Driveway,9,4922
"2012-12",NONCONST,10,4259
"2013-01",HEATING,1,43524
"2013-01",Noise - Residential,2,11603
"2013-01",GENERAL CONSTRUCTION,3,11452
"2013-01",PLUMBING,4,8809
"2013-01",Street Light Condition,5,7913
"2013-01",PAINT - PLASTER,6,7313
"2013-01",Street Condition,7,6923
"2013-01",Water System,8,5643
"2013-01",Traffic Signal Condition,9,4991
"2013-01",Blocked Driveway,10,4436
"2013-02",HEATING,1,29113
"2013-02",Noise - Residential,2,10661
"2013-02",GENERAL CONSTRUCTION,3,9532
"2013-02",Street Condition,4,8364
"2013-02",PLUMBING,5,7446
