"month_year","agency","agency_name","complaint_count","avg_resolution_hours"
"2024-06",DEP,Department of Environmental Protection,19097,87.63
"2024-06",DOT,Department of Transportation,16705,245.68
"2024-06",DSNY,Department of Sanitation,27697,125.18
"2024-06",HPD,Department of Housing Preservation and Development,39964,327.34
"2024-06",NYPD,New York City Police Department,148964,2.19
"2024-07",DEP,Department of Environmental Protection,19729,71.62
"2024-07",DOT,Department of Transportation,16503,233.52
"2024-07",DSNY,Department of Sanitation,29300,118.90
"2024-07",HPD,Department of Housing Preservation and Development,44972,332.21
"2024-07",NYPD,New York City Police Department,138648,2.50
"2024-08",DEP,Department of Environmental Protection,16463,84.10
"2024-08",DOT,Department of Transportation,16791,243.03
"2024-08",DSNY,Department of Sanitation,29368,112.63
"2024-08",HPD,Department of Housing Preservation and Development,46827,297.54
"2024-08",NYPD,New York City Police Department,127897,2.69
"2024-09",DEP,Department of Environmental Protection,14025,86.60
"2024-09",DOT,Department of Transportation,15622,229.09
"2024-09",DSNY,Department of Sanitation,29713,102.77
"2024-09",HPD,Department of Housing Preservation and Development,42385,222.84
"2024-09",NYPD,New York City Police Department,161304,3.16
"2024-10",DEP,Department of Environmental Protection,18615,105.00
"2024-10",DOT,Department of Transportation,15199,226.38
"2024-10",DSNY,Department of Sanitation,28092,85.29
"2024-10",HPD,Department of Housing Preservation and Development,56793,243.71
"2024-10",NYPD,New York City Police Department,144300,3.25
"2024-11",DEP,Department of Environmental Protection,21109,255.18
"2024-11",DOT,Department of Transportation,13945,223.72
"2024-11",DSNY,Department of Sanitation,23074,89.55
"2024-11",HPD,Department of Housing Preservation and Development,72731,305.92
"2024-11",NYPD,New York City Police Department,126283,3.63
"2024-12",DEP,Department of Environmental Protection,14551,122.24
"2024-12",DOT,Department of Transportation,15585,167.49
"2024-12",DSNY,Department of Sanitation,22320,143.41
"2024-12",HPD,Department of Housing Preservation and Development,99986,292.40
"2024-12",NYPD,New York City Police Department,129639,4.70
"2025-01",DEP,Department of Environmental Protection,15099,95.00
"2025-01",DOT,Department of Transportation,16004,142.87
"2025-01",DSNY,Department of Sanitation,26217,88.85
"2025-01",HPD,Department of Housing Preservation and Development,107284,260.49
"2025-01",NYPD,New York City Police Department,153175,4.93
"2025-02",DEP,Department of Environmental Protection,12822,97.21
"2025-02",DOT,Department of Transportation,17155,127.48
"2025-02",DSNY,Department of Sanitation,21569,89.09
"2025-02",HPD,Department of Housing Preservation and Development,72112,233.90
"2025-02",NYPD,New York City Police Department,104278,4.17
"2025-03",DEP,Department of Environmental Protection,13318,92.19
"2025-03",DOT,Department of Transportation,18292,121.06
"2025-03",DSNY,Department of Sanitation,25021,91.87
"2025-03",HPD,Department of Housing Preservation and Development,58235,223.47
"2025-03",NYPD,New York City Police Department,130118,4.26
"2025-04",DEP,Department of Environmental Protection,12330,73.09
"2025-04",DOT,Department of Transportation,16875,107.38
"2025-04",DSNY,Department of Sanitation,28969,82.55
"2025-04",HPD,Department of Housing Preservation and Development,45883,181.47
"2025-04",NYPD,New York City Police Department,127716,3.15
"2025-05",DEP,Department of Environmental Protection,9630,47.12
"2025-05",DOT,Department of Transportation,12426,67.42
"2025-05",DSNY,Department of Sanitation,21321,44.80
"2025-05",HPD,Department of Housing Preservation and Development,23125,115.81
"2025-05",NYPD,New York City Police Department,132889,2.64
